|OUTPUT SUMMARY with options:
                Normalization method: MinMax
                Initial centroids: Actual|
|Initial 400 midpoints|
Fresh Milk Grocery Frozen Detergents_Paper Delicassen Cluster#
11002.0 7075.0 4945.0 1152.0 120.0 395.0 0
5567.0 871.0 2010.0 3383.0 375.0 569.0 1
36050.0 1642.0 2961.0 4787.0 500.0 1621.0 2
1774.0 3696.0 2280.0 514.0 275.0 834.0 3
19176.0 3065.0 5956.0 2033.0 2575.0 2802.0 4
3043.0 1172.0 1763.0 2234.0 217.0 379.0 5
7149.0 2247.0 1242.0 1619.0 1226.0 128.0 6
18.0 7504.0 15205.0 1285.0 4797.0 6372.0 7
3317.0 6602.0 6861.0 1329.0 3961.0 1215.0 8
21632.0 1318.0 2886.0 266.0 918.0 405.0 9
8090.0 3199.0 6986.0 1455.0 3712.0 531.0 10
5113.0 1486.0 4583.0 5127.0 492.0 739.0 11
1689.0 6964.0 26316.0 1456.0 15469.0 37.0 12
6269.0 1095.0 1980.0 3860.0 609.0 2162.0 13
955.0 5479.0 6536.0 333.0 2840.0 707.0 14
2708.0 2160.0 2642.0 502.0 965.0 1522.0 15
7858.0 1110.0 1094.0 6818.0 49.0 287.0 16
56159.0 555.0 902.0 10002.0 212.0 2916.0 17
20049.0 1891.0 2362.0 5343.0 411.0 933.0 18
8040.0 7639.0 11687.0 2758.0 6839.0 404.0 19
6990.0 3880.0 5380.0 1647.0 319.0 1160.0 20
1869.0 577.0 572.0 950.0 4762.0 203.0 21
24929.0 1801.0 2475.0 2216.0 412.0 1047.0 22
1210.0 10044.0 22294.0 1741.0 12638.0 3137.0 23
2838.0 3086.0 4329.0 3838.0 825.0 1060.0 24
6373.0 780.0 950.0 878.0 288.0 285.0 25
3225.0 3294.0 1902.0 282.0 68.0 1114.0 26
200.0 25862.0 19816.0 651.0 8773.0 6250.0 27
8565.0 4980.0 67298.0 131.0 38102.0 1215.0 28
14100.0 2132.0 3445.0 1336.0 1491.0 548.0 29
26373.0 36423.0 22019.0 5154.0 4337.0 16523.0 30
444.0 879.0 2060.0 264.0 290.0 259.0 31
622.0 55.0 137.0 75.0 7.0 8.0 32
1502.0 1979.0 2262.0 425.0 483.0 395.0 33
76237.0 3473.0 7102.0 16538.0 778.0 918.0 34
9658.0 2182.0 1909.0 5639.0 215.0 323.0 35
43265.0 5025.0 8117.0 6312.0 1579.0 14351.0 36
11134.0 793.0 2988.0 2715.0 276.0 610.0 37
31812.0 1433.0 1651.0 800.0 113.0 1440.0 38
8635.0 820.0 3047.0 2312.0 415.0 225.0 39
19046.0 2770.0 2469.0 8853.0 483.0 2708.0 40
20782.0 5921.0 9212.0 1759.0 2568.0 1553.0 41
3087.0 8080.0 8282.0 661.0 721.0 36.0 42
583.0 685.0 2216.0 469.0 954.0 18.0 43
16448.0 6243.0 6360.0 824.0 2662.0 2005.0 44
2790.0 2527.0 5265.0 5612.0 788.0 1360.0 45
355.0 7704.0 14682.0 398.0 8077.0 303.0 46
2083.0 5007.0 1563.0 1120.0 147.0 1550.0 47
36847.0 43950.0 20170.0 36534.0 239.0 47943.0 48
4720.0 1032.0 975.0 5500.0 197.0 56.0 49
1073.0 9679.0 15445.0 61.0 5980.0 1265.0 50
243.0 12939.0 8852.0 799.0 3909.0 211.0 51
11072.0 5989.0 5615.0 8321.0 955.0 2137.0 52
10766.0 1175.0 2067.0 2096.0 301.0 167.0 53
18692.0 3838.0 593.0 4634.0 28.0 1215.0 54
8040.0 3795.0 2070.0 6340.0 918.0 291.0 55
9612.0 577.0 935.0 1601.0 469.0 375.0 56
11635.0 922.0 1614.0 2583.0 192.0 1068.0 57
3352.0 1181.0 1328.0 5502.0 311.0 1000.0 58
17360.0 6200.0 9694.0 1293.0 3620.0 1721.0 59
12680.0 3243.0 4157.0 660.0 761.0 786.0 60
4155.0 367.0 1390.0 2306.0 86.0 130.0 61
572.0 9763.0 22182.0 2221.0 4882.0 2563.0 62
9784.0 925.0 2405.0 4447.0 183.0 297.0 63
1838.0 6380.0 2824.0 1218.0 1216.0 295.0 64
1289.0 3328.0 2022.0 531.0 255.0 1774.0 65
25962.0 1780.0 3838.0 638.0 284.0 834.0 66
717.0 3587.0 6532.0 7530.0 529.0 894.0 67
6758.0 4560.0 9965.0 934.0 4538.0 1037.0 68
3884.0 3801.0 1641.0 876.0 397.0 4829.0 69
7769.0 1936.0 2177.0 926.0 73.0 520.0 70
25203.0 11487.0 9490.0 5065.0 284.0 6854.0 71
13146.0 1124.0 4523.0 1420.0 549.0 497.0 72
42786.0 286.0 471.0 1388.0 32.0 22.0 73
12119.0 28326.0 39694.0 4736.0 19410.0 2870.0 74
7363.0 475.0 585.0 1112.0 72.0 216.0 75
19746.0 2872.0 2006.0 2601.0 468.0 503.0 76
1420.0 10810.0 16267.0 1593.0 6766.0 1838.0 77
