|OUTPUT SUMMARY with options:
                Normalization method: MinMax
                Initial centroids: Actual|
|Initial 200 midpoints|
Fresh Milk Grocery Frozen Detergents_Paper Delicassen Cluster#
12759.0 7330.0 4533.0 1752.0 20.0 2631.0 0
11405.0 596.0 1638.0 3347.0 69.0 360.0 1
7780.0 2495.0 9464.0 669.0 2518.0 501.0 2
12212.0 201.0 245.0 1991.0 25.0 860.0 3
9203.0 3373.0 2707.0 1286.0 1082.0 526.0 4
9396.0 11601.0 15775.0 2896.0 7677.0 1295.0 5
2343.0 7845.0 11874.0 52.0 4196.0 1697.0 6
3347.0 4051.0 6996.0 239.0 1538.0 301.0 7
11867.0 3327.0 4814.0 1178.0 3837.0 120.0 8
27329.0 1449.0 1947.0 2436.0 204.0 1333.0 9
1502.0 1979.0 2262.0 425.0 483.0 395.0 10
12356.0 6036.0 8887.0 402.0 1382.0 2794.0 11
10253.0 1114.0 3821.0 397.0 964.0 412.0 12
6006.0 11093.0 18881.0 1159.0 7425.0 2098.0 13
19176.0 3065.0 5956.0 2033.0 2575.0 2802.0 14
1454.0 6337.0 10704.0 133.0 6830.0 1831.0 15
44466.0 54259.0 55571.0 7782.0 24171.0 6465.0 16
1020.0 8816.0 12121.0 134.0 4508.0 1080.0 17
955.0 5479.0 6536.0 333.0 2840.0 707.0 18
14903.0 2032.0 2479.0 576.0 955.0 328.0 19
6269.0 1095.0 1980.0 3860.0 609.0 2162.0 20
23.0 2616.0 8118.0 145.0 3874.0 217.0 21
11002.0 7075.0 4945.0 1152.0 120.0 395.0 22
5417.0 9933.0 10487.0 38.0 7572.0 1282.0 23
11170.0 10769.0 8814.0 2194.0 1976.0 143.0 24
10850.0 7555.0 14961.0 188.0 6899.0 46.0 25
30624.0 7209.0 4897.0 18711.0 763.0 2876.0 26
10405.0 1596.0 1096.0 8425.0 399.0 318.0 27
22925.0 73498.0 32114.0 987.0 20070.0 903.0 28
13624.0 295.0 1381.0 890.0 43.0 84.0 29
355.0 7704.0 14682.0 398.0 8077.0 303.0 30
35942.0 38369.0 59598.0 3254.0 26701.0 2017.0 31
18815.0 3610.0 11107.0 1148.0 2134.0 2963.0 32
7579.0 4956.0 9426.0 1669.0 3321.0 2566.0 33
4098.0 29892.0 26866.0 2616.0 17740.0 1340.0 34
13265.0 1196.0 4221.0 6404.0 507.0 1788.0 35
1989.0 10690.0 19460.0 233.0 11577.0 2153.0 36
12579.0 11114.0 17569.0 805.0 6457.0 1519.0 37
18827.0 3677.0 1988.0 118.0 516.0 201.0 38
200.0 25862.0 19816.0 651.0 8773.0 6250.0 39
18601.0 6327.0 10099.0 2205.0 2767.0 3181.0 40
9670.0 7027.0 10471.0 541.0 4618.0 65.0 41
16705.0 2037.0 3202.0 10643.0 116.0 1365.0 42
2926.0 3195.0 3268.0 405.0 1680.0 693.0 43
21217.0 6208.0 14982.0 3095.0 6707.0 602.0 44
13146.0 1124.0 4523.0 1420.0 549.0 497.0 45
4967.0 21412.0 28921.0 1798.0 13583.0 1163.0 46
20874.0 1563.0 1783.0 2320.0 550.0 772.0 47
1420.0 10810.0 16267.0 1593.0 6766.0 1838.0 48
2427.0 7097.0 10391.0 1127.0 4314.0 1468.0 49
17546.0 4519.0 4602.0 1066.0 2259.0 2124.0 50
12205.0 12697.0 28540.0 869.0 12034.0 1009.0 51
37036.0 7152.0 8253.0 2995.0 20.0 3.0 52
43265.0 5025.0 8117.0 6312.0 1579.0 14351.0 53
21465.0 7243.0 10685.0 880.0 2386.0 2749.0 54
1406.0 16729.0 28986.0 673.0 836.0 3.0 55
2932.0 6459.0 7677.0 2561.0 4573.0 1386.0 56
7864.0 542.0 4042.0 9735.0 165.0 46.0 57
5509.0 1461.0 2251.0 547.0 187.0 409.0 58
42312.0 926.0 1510.0 1718.0 410.0 1819.0 59
17023.0 5139.0 5230.0 7888.0 330.0 1755.0 60
56159.0 555.0 902.0 10002.0 212.0 2916.0 61
9.0 1534.0 7417.0 175.0 3468.0 27.0 62
1531.0 8397.0 6981.0 247.0 2505.0 1236.0 63
1289.0 3328.0 2022.0 531.0 255.0 1774.0 64
7149.0 2428.0 699.0 6316.0 395.0 911.0 65
9413.0 8259.0 5126.0 666.0 1795.0 1451.0 66
31276.0 1917.0 4469.0 9408.0 2381.0 4334.0 67
5414.0 717.0 2155.0 2399.0 69.0 750.0 68
14438.0 2295.0 1733.0 3220.0 585.0 1561.0 69
4625.0 8579.0 7030.0 4575.0 2447.0 1542.0 70
3103.0 14069.0 21955.0 1668.0 6792.0 1452.0 71
5264.0 3683.0 5005.0 1057.0 2024.0 1130.0 72
16165.0 4230.0 7595.0 201.0 4003.0 57.0 73
43088.0 2100.0 2609.0 1200.0 1107.0 823.0 74
22647.0 9776.0 13792.0 2915.0 4482.0 5778.0 75
15168.0 10556.0 12477.0 1920.0 6506.0 714.0 76
24025.0 4332.0 4757.0 9510.0 1145.0 5864.0 77
20049.0 1891.0 2362.0 5343.0 411.0 933.0 78
7005.0 829.0 3009.0 430.0 610.0 529.0 79
15177.0 2024.0 3810.0 2665.0 232.0 610.0 80
12434.0 540.0 283.0 1092.0 3.0 2233.0 81
403.0 254.0 610.0 774.0 54.0 63.0 82
16225.0 1825.0 1765.0 853.0 170.0 1067.0 83
29955.0 4362.0 5428.0 1729.0 862.0 4626.0 84
8258.0 2344.0 2147.0 3896.0 266.0 635.0 85
112151.0 29627.0 18148.0 16745.0 4948.0 8550.0 86
8590.0 3045.0 7854.0 96.0 4095.0 225.0 87
717.0 3587.0 6532.0 7530.0 529.0 894.0 88
76237.0 3473.0 7102.0 16538.0 778.0 918.0 89
3157.0 4888.0 2500.0 4477.0 273.0 2165.0 90
11594.0 7779.0 12144.0 3252.0 8035.0 3029.0 91
40721.0 3916.0 5876.0 532.0 2587.0 1278.0 92
9670.0 2280.0 2112.0 520.0 402.0 347.0 93
3463.0 9250.0 2368.0 779.0 302.0 1627.0 94
219.0 9540.0 14403.0 283.0 7818.0 156.0 95
7107.0 1012.0 2974.0 806.0 355.0 1142.0 96
4760.0 1227.0 3250.0 3724.0 1247.0 1145.0 97
5224.0 7603.0 8584.0 2540.0 3674.0 238.0 98
56082.0 3504.0 8906.0 18028.0 1480.0 2498.0 99
6300.0 1289.0 2591.0 1170.0 199.0 326.0 100
16936.0 6250.0 1981.0 7332.0 118.0 64.0 101
36847.0 43950.0 20170.0 36534.0 239.0 47943.0 102
5626.0 12220.0 11323.0 206.0 5038.0 244.0 103
4420.0 5139.0 2661.0 8872.0 1321.0 181.0 104
2446.0 7260.0 3993.0 5870.0 788.0 3095.0 105
694.0 8533.0 10518.0 443.0 6907.0 156.0 106
5876.0 6157.0 2933.0 839.0 370.0 4478.0 107
6990.0 3880.0 5380.0 1647.0 319.0 1160.0 108
8040.0 7639.0 11687.0 2758.0 6839.0 404.0 109
11173.0 2521.0 3355.0 1517.0 310.0 222.0 110
22039.0 8384.0 34792.0 42.0 12591.0 4430.0 111
36050.0 1642.0 2961.0 4787.0 500.0 1621.0 112
22615.0 5410.0 7198.0 3915.0 1777.0 5185.0 113
9898.0 961.0 2861.0 3151.0 242.0 833.0 114
2101.0 589.0 314.0 346.0 70.0 310.0 115
11686.0 2154.0 6824.0 3527.0 592.0 697.0 116
3.0 2920.0 6252.0 440.0 223.0 709.0 117
140.0 8847.0 3823.0 142.0 1062.0 3.0 118
8797.0 10646.0 14886.0 2471.0 8969.0 1438.0 119
9658.0 2182.0 1909.0 5639.0 215.0 323.0 120
8352.0 2820.0 1293.0 779.0 656.0 144.0 121
8170.0 6448.0 1139.0 2181.0 58.0 247.0 122
